,,Statistic,Estimate,Bias (Asy),Bias (Sim),SE (Asy),SE (Sim),p-val (Asy),p-val (Sim)
Panel A: Value-Weighted,Daily,rho(1),0.05204558631850553,-3.838624237073433e-05,,0.006187266270599315,,,
Panel A: Value-Weighted,Daily,rho(2),-0.027383879117238573,-3.838624237073433e-05,,0.006193339762743389,,,
Panel A: Value-Weighted,Daily,rho(3),0.0007594328645205932,-3.838624237073433e-05,,0.006195661403911539,,,
Panel A: Value-Weighted,Daily,rho(4),0.017385907057255515,-3.838624237073433e-05,,0.006194726738953403,,,
Panel A: Value-Weighted,Daily,rho(5),0.006213720274184302,-3.838624237073433e-05,,0.006195543581127195,,,
Panel A: Value-Weighted,Daily,Q(5),98.99579844696582,,,,,8.603451637806813e-20,0.0
Panel A: Value-Weighted,Daily,VR(5),1.0580327129845162,,,,,,0.0
Panel A: Value-Weighted,Daily,delta(5),0.0020935591261613596,,,,,,0.0
Panel A: Value-Weighted,Monthly,rho(1),0.09236018899423344,-0.0008410428931875525,-0.0007844902917518627,0.02887678058748098,0.028808421360996293,,
Panel A: Value-Weighted,Monthly,rho(2),-0.024604002385280613,-0.0008410428931875525,-0.0010223624423967997,0.02899196030007105,0.02876305888426739,,
Panel A: Value-Weighted,Monthly,rho(3),-0.08657317111611744,-0.0008410428931875525,-0.0009646524581527927,0.028891856102868867,0.028713313295024523,,
Panel A: Value-Weighted,Monthly,rho(4),0.013130279822859714,-0.0008410428931875525,-0.0008257145255063964,0.028998239495180156,0.028829972721878323,,
Panel A: Value-Weighted,Monthly,rho(5),0.05702483335392495,-0.0008410428931875525,-0.0009782114074324978,0.028953548371736994,0.028839135747305684,,
Panel A: Value-Weighted,Monthly,Q(5),23.845289498597815,,,,,0.00023248980752321114,0.00024
Panel A: Value-Weighted,Monthly,VR(5),1.0563859298004836,,,,,,0.3735
Panel A: Value-Weighted,Monthly,delta(5),0.04694221810186015,,,,,,0.25042
Panel A: Value-Weighted,Annual,rho(1),-0.014009595741548485,-0.01,-0.010293770549099013,0.09999018607979276,0.09863340512645787,,
Panel A: Value-Weighted,Annual,rho(2),-0.1915741323153079,-0.01,-0.009928034322189895,0.09814781463831158,0.0981269146280228,,
Panel A: Value-Weighted,Annual,rho(3),-0.05825323667847694,-0.01,-0.010269928981533158,0.09983018383317148,0.09770427520296142,,
