,,$\rho(1)$,$\rho(2)$,$\rho(3)$,$\rho(4)$,$\rho(5)$,,$Q(5)$,$VR(5)$,$\delta(5)$
,Estimate,,,,,,Value,,,
,Bias (Asy),,,,,,Bias (Asy),,,
Daily,Bias (Sim),,,,,,Bias (Sim),,,
,SE (Asy),,,,,,p-val (Asy),,,
,SE (Sim),,,,,,p-val (Sim),,,
,Estimate,,,,,,Estimate,,,
,Bias (Asy),,,,,,Bias (Asy),,,
Monthly,Bias (Sim),,,,,,Bias (Sim),,,
,SE (Asy),,,,,,SE (Asy),,,
,SE (Sim),,,,,,SE (Sim),,,
,Estimate,,,,,,Estimate,,,
,Bias (Asy),,,,,,Bias (Asy),,,
Annually,Bias (Sim),,,,,,Bias (Sim),,,
,SE (Asy),,,,,,SE (Asy),,,
,SE (Sim),,,,,,SE (Sim),,,
